1,station_number1,station_number2,name,latitude7,longitude7,line_01,line_02,line_no1,line_no2,latitude,longitude,zipcode,address
2,BR24,BL23,南港展覽館,250552880,1216175001,文湖線,板南線,1,5,25.055288,121.6175001,11568,台北市南港區南港路一段32號
3,BR23,,南港軟體園區,250599050,1216159530,文湖線,,1,,25.059905,121.615953,11568,台北市南港區經貿二路183號
4,BR22,,東湖,250671470,1216114450,文湖線,,1,,25.067147,121.611445,11486,台北市內湖區康寧路三段235號
5,BR21,,葫洲,250727010,1216071580,文湖線,,1,,25.072701,121.607158,11486,台北市內湖區康寧路三段16號
6,BR20,,大湖公園,250838450,1216021410,文湖線,,1,,25.083845,121.602141,11477,台北市內湖區成功路五段11號
7,BR19,,內湖,250836610,1215944080,文湖線,,1,,25.083661,121.594408,11489,台北市內湖區成功路四段186號
8,BR18,,文德,250785320,1215847610,文湖線,,1,,25.078532,121.584761,11475,台北市內湖區文德路214號
9,BR17,,港墘,250800280,1215750810,文湖線,,1,,25.080028,121.575081,11446,台北市內湖區內湖路一段663號
10,BR16,,西湖,250821330,1215672130,文湖線,,1,,25.082133,121.567213,11493,台北市內湖區內湖路一段256號
11,BR15,,劍南路,250848530,1215555920,文湖線,,1,,25.084853,121.555592,10464,台北市中山區北安路798號
12,BR14,,大直,250794770,1215468950,文湖線,,1,,25.079477,121.546895,10465,台北市中山區北安路534之1號
13,BR13,,松山機場,250630000,1215519960,文湖線,,1,,25.063,121.551996,10576,台北市松山區敦化北路338號
14,BR12,,中山國中,250608490,1215442270,文湖線,,1,,25.060849,121.544227,10476,台北市中山區復興北路376號
15,BR11,G16,南京復興,250523190,1215440110,文湖線,松山新店線,1,3,25.052319,121.544011,10550,台北市松山區南京東路三段253號
16,BR10,BL15,忠孝復興,250416290,1215437670,文湖線,板南線,1,5,25.041629,121.543767,10654,台北市大安區忠孝東路四段47號
17,BR09,R05,大安,250329430,1215435510,文湖線,淡水信義線,1,2,25.032943,121.543551,10683,台北市大安區信義路四段2號
18,BR08,,科技大樓,250261250,1215434370,文湖線,,1,,25.026125,121.543437,10667,台北市大安區復興南路二段235號
19,BR07,,六張犁,250237770,1215531150,文湖線,,1,,25.023777,121.553115,10674,台北市大安區和平東路三段168號
20,BR06,,麟光,250185350,1215587910,文湖線,,1,,25.018535,121.558791,10676,台北市大安區和平東路三段410號
21,BR05,,辛亥,250054750,1215571070,文湖線,,1,,25.005475,121.557107,11694,台北市文山區辛亥路四段128號
22,BR04,,萬芳醫院,249993860,1215581520,文湖線,,1,,24.999386,121.558152,11696,台北市文山區興隆路三段113號
23,BR03,,萬芳社區,249985850,1215681020,文湖線,,1,,24.998585,121.568102,11653,台北市文山區萬芳路60號
24,BR02,,木柵,249982410,1215731450,文湖線,,1,,24.998241,121.573145,11656,台北市文山區木柵路四段135號
25,BR01,,動物園,249981970,1215793380,文湖線,,1,,24.998197,121.579338,11656,台北市文山區新光路二段32號
26,R28,,淡水,251678180,1214455610,淡水信義線,,2,,25.167818,121.445561,25158,新北市淡水區中正路1號
27,R27,,紅樹林,251540420,1214588720,淡水信義線,,2,,25.154042,121.458872,25173,新北市淡水區中正東路二段68號
28,R26,,竹圍,251369400,1214594790,淡水信義線,,2,,25.13694,121.459479,25173,新北市淡水區民權路50號
29,R25,,關渡,251256330,1214671020,淡水信義線,,2,,25.125633,121.467102,11259,台北市北投區大度路三段296巷51號
30,R24,,忠義,251309690,1214734100,淡水信義線,,2,,25.130969,121.47341,11257,台北市北投區中央北路四段301號
31,R23,,復興崗,251374740,1214854440,淡水信義線,,2,,25.137474,121.485444,11257,台北市北投區中央北路三段53巷10號
32,R22,,北投,251318410,1214986330,淡水信義線,,2,,25.131841,121.498633,11246,台北市北投區光明路1號
33,R21,,奇岩,251254910,1215011320,淡水信義線,,2,,25.125491,121.501132,11270,台北市北投區三合街二段489號
34,R20,,唭哩岸,251208720,1215062520,淡水信義線,,2,,25.120872,121.506252,11265,台北市北投區東華街二段301號
35,R19,,石牌,251145230,1215155590,淡水信義線,,2,,25.114523,121.515559,11271,台北市北投區石牌路一段200號
36,R18,,明德,251097210,1215188480,淡水信義線,,2,,25.109721,121.518848,11280,台北市北投區明德路95號
37,R17,,芝山,251030600,1215225140,淡水信義線,,2,,25.10306,121.522514,11158,台北市士林區福國路70號
38,R16,,士林,250935350,1215262300,淡水信義線,,2,,25.093535,121.52623,11163,台北市士林區福德路1號
39,R15,,劍潭,250848730,1215250780,淡水信義線,,2,,25.084873,121.525078,11163,台北市士林區中山北路五段65號
40,R14,,圓山,250713530,1215201180,淡水信義線,,2,,25.071353,121.520118,10367,台北市大同區酒泉街9之1號
41,R13,O11,民權西路,250629050,1215193200,淡水信義線,中和新蘆線,2,4,25.062905,121.51932,10365,台北市大同區民權西路72號
42,R12,,雙連,250578050,1215206270,淡水信義線,,2,,25.057805,121.520627,10354,台北市大同區民生西路47號
43,R11,G14,中山,250526850,1215203920,淡水信義線,松山新店線,2,3,25.052685,121.520392,10444,台北市中山區南京西路16號
44,R10,BL12,台北車站,250462550,1215175320,淡水信義線,板南線,2,5,25.046255,121.517532,10041,台北市中正區忠孝西路一段49號
45,R09,,台大醫院,250412560,1215160400,淡水信義線,,2,,25.041256,121.51604,10048,台北市中正區公園路52號B1
46,R08,G10,中正紀念堂,250327290,1215182700,淡水信義線,松山新店線,2,3,25.032729,121.51827,10074,台北市中正區羅斯福路一段8之1號B1
47,R07,O06,東門,250338470,1215287390,淡水信義線,中和新蘆線,2,4,25.033847,121.528739,10650,台北市大安區信義路二段166號B1
48,R06,,大安森林公園,250333960,1215348820,淡水信義線,,2,,25.033396,121.534882,10656,台北市大安區信義路三段100號B1
49,R04,,信義安和,250333260,1215535260,淡水信義線,,2,,25.033326,121.553526,10681,台北市大安區信義路四段212之1號B1
50,R03,,台北101/世貿,250331020,1215632920,淡水信義線,,2,,25.033102,121.563292,11049,台北市信義區信義路五段20號B1
51,R02,,象山,250328300,1215695760,淡水信義線,,2,,25.03283,121.569576,11080,台北市信義區信義路五段152號B1
52,G19,,松山,250492830,1215780120,松山新店線,,3,,25.049283,121.578012,11088,台北市信義區松山路11號
53,G18,,南京三民,250516520,1215647080,松山新店線,,3,,25.051652,121.564708,10569,台北市松山區南京東路5段237號
54,G17,,台北小巨蛋,250518360,1215515300,松山新店線,,3,,25.051836,121.55153,10553,台北市松山區南京東路4段10-1號
55,G13,,北門,250495540,1215101840,松山新店線,,3,,25.049554,121.510184,10341,台北市大同區塔城街10號
56,G12,BL11,西門,250420900,1215083030,松山新店線,板南線,3,5,25.04209,121.508303,10042,台北市中正區寶慶路32之1號B1
57,G11,,小南門,250355470,1215108570,松山新店線,,3,,25.035547,121.510857,10066,台北市中正區愛國西路22號B1
58,G08,,台電大樓,250207250,1215281680,松山新店線,,3,,25.020725,121.528168,10089,台北市中正區羅斯福路三段126之5號B1
59,G07,,公館,250149080,1215342160,松山新店線,,3,,25.014908,121.534216,10091,台北市中正區羅斯福路四段74號B1
60,G06,,萬隆,250018530,1215390510,松山新店線,,3,,25.001853,121.539051,11678,台北市文山區羅斯福路五段214號
61,G05,,景美,249921276,1215406037,松山新店線,,3,,24.9921276,121.5406037,11674,台北市文山區羅斯福路六段393號
62,G04,,大坪林,249828990,1215413520,松山新店線,,3,,24.982899,121.541352,23143,新北市新店區北新路三段190號
63,G03,,七張,249751690,1215429420,松山新店線,,3,,24.975169,121.542942,23143,新北市新店區北新路二段150號
64,G02,,新店區公所,249673930,1215413100,松山新店線,,3,,24.967393,121.54131,23147,新北市新店區北新路一段295號
65,G01,,新店,249578550,1215375840,松山新店線,,3,,24.957855,121.537584,23152,新北市新店區北宜路一段2號
66,O54,,蘆洲,250915540,1214644710,中和新蘆線,,4,,25.091554,121.464471,24760,新北市蘆洲區三民路386號B1
67,O53,,三民高中,250854560,1214733890,中和新蘆線,,4,,25.085456,121.473389,24760,新北市蘆洲區三民路105號B1
68,O52,,徐匯中學,250807280,1214796730,中和新蘆線,,4,,25.080728,121.479673,24753,新北市蘆洲區中山一路3號B1
69,O51,,三和國中,250768590,1214863470,中和新蘆線,,4,,25.076859,121.486347,24152,新北市三重區三和路四段107號B1
70,O50,,三重國小,250703190,1214969040,中和新蘆線,,4,,25.070319,121.496904,24149,新北市三重區三和路三段5號B1
71,O21,,迴龍,250218620,1214112700,中和新蘆線,,4,,25.021862,121.41127,24257,新北市新莊區中正路758號B1
72,O20,,丹鳳,250288671,1214227079,中和新蘆線,,4,,25.0288671,121.4227079,24256,新北市新莊區中正路624之1號B1
73,O19,,輔大,250327180,1214354700,中和新蘆線,,4,,25.032718,121.43547,24205,新北市新莊區中正路510之1號B1
74,O18,,新莊,250361250,1214524680,中和新蘆線,,4,,25.036125,121.452468,24243,新北市新莊區中正路138號B1
75,O17,,頭前庄,250397050,1214617460,中和新蘆線,,4,,25.039705,121.461746,24251,新北市新莊區思源路18號B1
76,O16,,先嗇宮,250464930,1214719160,中和新蘆線,,4,,25.046493,121.471916,24158,新北市三重區重新路五段515號B1
77,O15,,三重,250557910,1214847250,中和新蘆線,,4,,25.055791,121.484725,24161,新北市三重區捷運路36號B1
78,O14,,菜寮,250602740,1214921560,中和新蘆線,,4,,25.060274,121.492156,24143,新北市三重區重新路三段150號B1
79,O13,,台北橋,250632740,1215007620,中和新蘆線,,4,,25.063274,121.500762,24142,新北市三重區重新路一段108號B1
80,O12,,大橋頭,250632560,1215127200,中和新蘆線,,4,,25.063256,121.51272,10357,台北市大同區民權西路223號B1
81,O10,,中山國小,250626940,1215264190,中和新蘆線,,4,,25.062694,121.526419,10452,台北市中山區民權東路一段71號B1
82,O09,,行天宮,250597180,1215331850,中和新蘆線,,4,,25.059718,121.533185,10468,台北市中山區松江路316號B1
83,O08,G15,松江南京,250520150,1215330750,中和新蘆線,松山新店線,4,3,25.052015,121.533075,10457,台北市中山區松江路126號B1
84,O07,BL14,忠孝新生,250423560,1215329050,中和新蘆線,板南線,4,5,25.042356,121.532905,10652,台北市大安區新生南路一段67號
85,O05,G09,古亭,250263570,1215228730,中和新蘆線,松山新店線,4,3,25.026357,121.522873,10084,台北市中正區羅斯福路二段164之1號B1
86,O04,,頂溪,250138210,1215154850,中和新蘆線,,4,,25.013821,121.515485,23445,新北市永和區永和路二段168號B1
87,O03,,永安市場,250028760,1215112310,中和新蘆線,,4,,25.002876,121.511231,23574,新北市中和區中和路388號
88,O02,,景安,249939050,1215051130,中和新蘆線,,4,,24.993905,121.505113,23582,新北市中和區景平路486號
89,O01,,南勢角,249900450,1215092370,中和新蘆線,,4,,24.990045,121.509237,23566,新北市中和區捷運路6號
90,BL22,,南港,250521160,1216066860,板南線,,5,,25.052116,121.606686,11561,台北市南港區忠孝東路七段380號
91,BL21,,昆陽,250504610,1215932680,板南線,,5,,25.050461,121.593268,11558,台北市南港區忠孝東路六段451號
92,BL20,,後山埤,250450550,1215825220,板南線,,5,,25.045055,121.582522,11575,台北市南港區忠孝東路六段2號
93,BL19,,永春,250408590,1215762930,板南線,,5,,25.040859,121.576293,11061,台北市信義區忠孝東路五段455號
94,BL18,,市政府,250411710,1215652280,板南線,,5,,25.041171,121.565228,11071,台北市信義區忠孝東路五段2號
95,BL17,,國父紀念館,250413490,1215578020,板南線,,5,,25.041349,121.557802,11072,台北市信義區忠孝東路四段400號
96,BL16,,忠孝敦化,250414780,1215510980,板南線,,5,,25.041478,121.551098,10686,台北市大安區忠孝東路四段182號
97,BL13,,善導寺,250448230,1215232080,板南線,,5,,25.044823,121.523208,10049,台北市中正區忠孝東路一段58號B1
98,BL10,,龍山寺,250352800,1214998260,板南線,,5,,25.03528,121.499826,10855,台北市萬華區西園路一段153號
99,BL09,,江子翠,250300100,1214723900,板南線,,5,,25.03001,121.47239,22044,新北市板橋區文化路二段296號B1
100,BL08,,新埔,250237380,1214683610,板南線,,5,,25.023738,121.468361,22047,新北市板橋區民生路三段2號B1
101,BL07,,板橋,250136180,1214623020,板南線,,5,,25.013618,121.462302,22041,新北市板橋區站前路5號B1
102,BL06,,府中,250086190,1214594090,板南線,,5,,25.008619,121.459409,22055,新北市板橋區縣民大道一段193號B1
103,BL05,,亞東醫院,249980370,1214525140,板南線,,5,,24.998037,121.452514,22060,新北市板橋區南雅南路二段17號B1
104,BL04,,海山,249853390,1214487860,板南線,,5,,24.985339,121.448786,23660,新北市土城區海山路39號B2
105,BL03,,土城,249730940,1214443620,板南線,,5,,24.973094,121.444362,23671,新北市土城區金城路一段105號B1
106,BL02,,永寧,249667260,1214360720,板南線,,5,,24.966726,121.436072,23671,新北市土城區中央路三段105號B1
107,BL01,,頂埔,249601200,1214205000,板南線,,5,,24.96012,121.4205,23671,新北市土城區中央路四段51-6號B3
