station_number1,station_number2,name,latitude,longitude,line_01,line_02,line_no1,line_no2,zipcode,address
BR24,BL23,南港展覽館,25.055288,121.6175001,文湖線,板南線,1,,11568,台北市南港區南港路一段32號
BR23,,南港軟體園區,25.059905,121.615953,文湖線,,1,,11568,台北市南港區經貿二路183號
BR22,,東湖,25.067147,121.611445,文湖線,,1,,11486,台北市內湖區康寧路三段235號
BR21,,葫洲,25.072701,121.607158,文湖線,,1,,11486,台北市內湖區康寧路三段16號
BR20,,大湖公園,25.083845,121.602141,文湖線,,1,,11477,台北市內湖區成功路五段11號
BR19,,內湖,25.083661,121.594408,文湖線,,1,,11489,台北市內湖區成功路四段186號
BR18,,文德,25.078532,121.584761,文湖線,,1,,11475,台北市內湖區文德路214號
BR17,,港墘,25.080028,121.575081,文湖線,,1,,11446,台北市內湖區內湖路一段663號
BR16,,西湖,25.082133,121.567213,文湖線,,1,,11493,台北市內湖區內湖路一段256號
BR15,,劍南路,25.084853,121.555592,文湖線,,1,,10464,台北市中山區北安路798號
BR14,,大直,25.079477,121.546895,文湖線,,1,,10465,台北市中山區北安路534之1號
BR13,,松山機場,25.063,121.551996,文湖線,,1,,10576,台北市松山區敦化北路338號
BR12,,中山國中,25.060849,121.544227,文湖線,,1,,10476,台北市中山區復興北路376號
BR11,G16,南京復興,25.052319,121.544011,文湖線,松山新店線,1,3,10550,台北市松山區南京東路三段253號
BR10,BL15,忠孝復興,25.041629,121.543767,文湖線,板南線,1,5,10654,台北市大安區忠孝東路四段47號
BR09,R05,大安,25.032943,121.543551,文湖線,淡水信義線,1,2,10683,台北市大安區信義路四段2號
BR08,,科技大樓,25.026125,121.543437,文湖線,,1,,10667,台北市大安區復興南路二段235號
BR07,,六張犁,25.023777,121.553115,文湖線,,1,,10674,台北市大安區和平東路三段168號
BR06,,麟光,25.018535,121.558791,文湖線,,1,,10676,台北市大安區和平東路三段410號
BR05,,辛亥,25.005475,121.557107,文湖線,,1,,11694,台北市文山區辛亥路四段128號
BR04,,萬芳醫院,24.999386,121.558152,文湖線,,1,,11696,台北市文山區興隆路三段113號
BR03,,萬芳社區,24.998585,121.568102,文湖線,,1,,11653,台北市文山區萬芳路60號
BR02,,木柵,24.998241,121.573145,文湖線,,1,,11656,台北市文山區木柵路四段135號
BR01,,動物園,24.998197,121.579338,文湖線,,1,,11656,台北市文山區新光路二段32號
R28,,淡水,25.167818,121.445561,淡水信義線,,2,,25158,新北市淡水區中正路1號
R27,,紅樹林,25.154042,121.458872,淡水信義線,,2,,25173,新北市淡水區中正東路二段68號
R26,,竹圍,25.13694,121.459479,淡水信義線,,2,,25173,新北市淡水區民權路50號
R25,,關渡,25.125633,121.467102,淡水信義線,,2,,11259,台北市北投區大度路三段296巷51號
R24,,忠義,25.130969,121.47341,淡水信義線,,2,,11257,台北市北投區中央北路四段301號
R23,,復興崗,25.137474,121.485444,淡水信義線,,2,,11257,台北市北投區中央北路三段53巷10號
R22,,北投,25.131841,121.498633,淡水信義線,,2,,11246,台北市北投區光明路1號
R21,,奇岩,25.125491,121.501132,淡水信義線,,2,,11270,台北市北投區三合街二段489號
R20,,唭哩岸,25.120872,121.506252,淡水信義線,,2,,11265,台北市北投區東華街二段301號
R19,,石牌,25.114523,121.515559,淡水信義線,,2,,11271,台北市北投區石牌路一段200號
R18,,明德,25.109721,121.518848,淡水信義線,,2,,11280,台北市北投區明德路95號
R17,,芝山,25.10306,121.522514,淡水信義線,,2,,11158,台北市士林區福國路70號
R16,,士林,25.093535,121.52623,淡水信義線,,2,,11163,台北市士林區福德路1號
R15,,劍潭,25.084873,121.525078,淡水信義線,,2,,11163,台北市士林區中山北路五段65號
R14,,圓山,25.071353,121.520118,淡水信義線,,2,,10367,台北市大同區酒泉街9之1號
R13,O11,民權西路,25.062905,121.51932,淡水信義線,中和新蘆線,2,4,10365,台北市大同區民權西路72號
R12,,雙連,25.057805,121.520627,淡水信義線,,2,,10354,台北市大同區民生西路47號
R11,G14,中山,25.052685,121.520392,淡水信義線,松山新店線,2,3,10444,台北市中山區南京西路16號
R10,BL12,台北車站,25.046255,121.517532,淡水信義線,板南線,2,5,10041,台北市中正區忠孝西路一段49號
R09,,台大醫院,25.041256,121.51604,淡水信義線,,2,,10048,台北市中正區公園路52號B1
R08,G10,中正紀念堂,25.032729,121.51827,淡水信義線,松山新店線,2,3,10074,台北市中正區羅斯福路一段8之1號B1
R07,O06,東門,25.033847,121.528739,淡水信義線,中和新蘆線,2,4,10650,台北市大安區信義路二段166號B1
R06,,大安森林公園,25.033396,121.534882,淡水信義線,,2,,10656,台北市大安區信義路三段100號B1
R04,,信義安和,25.033326,121.553526,淡水信義線,,2,,10681,台北市大安區信義路四段212之1號B1
R03,,台北101/世貿,25.033102,121.563292,淡水信義線,,2,,11049,台北市信義區信義路五段20號B1
R02,,象山,25.03283,121.569576,淡水信義線,,2,,11080,台北市信義區信義路五段152號B1
G19,,松山,25.049283,121.578012,松山新店線,,3,,11088,台北市信義區松山路11號
G18,,南京三民,25.051652,121.564708,松山新店線,,3,,10569,台北市松山區南京東路5段237號
